word,normalized_word,chunks,phonics,rule_tags,status,confidence,review_note
A absent-minded,aabsentminded,a|a|b|s|e|n|t|m|i|n|d|e|d,待复核|待复核|/b/|待复核|待复核|/n/|/t/|/m/|待复核|/n/|/d/|待复核|/d/,letter:a|letter:a|letter:b|letter:s|letter:e|letter:n|letter:t|letter:m|letter:i|letter:n|letter:d|letter:e|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
A add,aadd,a|a|d|d,待复核|待复核|/d/|/d/,letter:a|letter:a|letter:d|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
Aaddition,aaddition,a|a|d|d|i|t|i|o|n,待复核|待复核|/d/|/d/|待复核|/t/|待复核|待复核|/n/,letter:a|letter:a|letter:d|letter:d|letter:i|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
aas,aas,a|a|s,待复核|待复核|待复核,letter:a|letter:a|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
A back up,abackup,a|b|a|ck|u|p,待复核|/b/|待复核|/k/|待复核|/p/,letter:a|letter:b|letter:a|grapheme:ck|letter:u|letter:p,needs_review,low,含多音字母或多音字母组合，需教研确认
abacus,abacus,a|b|a|c|u|s,待复核|/b/|待复核|待复核|待复核|待复核,letter:a|letter:b|letter:a|letter:c|letter:u|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
a balanced diet,abalanceddiet,a|b|a|l|a|n|c|e|d|d|i|e|t,待复核|/b/|待复核|/l/|待复核|/n/|待复核|待复核|/d/|/d/|待复核|待复核|/t/,letter:a|letter:b|letter:a|letter:l|letter:a|letter:n|letter:c|letter:e|letter:d|letter:d|letter:i|letter:e|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
A banking,abanking,a|b|a|n|k|i|ng,待复核|/b/|待复核|/n/|/k/|待复核|/ŋ/,letter:a|letter:b|letter:a|letter:n|letter:k|letter:i|grapheme:ng,needs_review,low,含多音字母或多音字母组合，需教研确认
A (Beijing opera) facial make-up(,abeijingoperafacialmakeup,a|b|e|i|j|i|ng|o|p|er|a|f|a|c|i|a|l|m|a|k|e|u|p,待复核|/b/|待复核|待复核|/dʒ/|待复核|/ŋ/|待复核|/p/|/ə/|待复核|/f/|待复核|待复核|待复核|待复核|/l/|/m/|待复核|/k/|待复核|待复核|/p/,letter:a|letter:b|letter:e|letter:i|letter:j|letter:i|grapheme:ng|letter:o|letter:p|grapheme:er|letter:a|letter:f|letter:a|letter:c|letter:i|letter:a|letter:l|letter:m|letter:a|letter:k|letter:e|letter:u|letter:p,needs_review,low,含多音字母或多音字母组合，需教研确认
ability,ability,a|b|i|l|i|t|y,待复核|/b/|待复核|/l/|待复核|/t/|待复核,letter:a|letter:b|letter:i|letter:l|letter:i|letter:t|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
