word,normalized_word,phonetic_uk,phonetic_us,source,status,confidence,review_note,occurrence_count,sample_occurrences
A absent-minded,aabsentminded,/'absent'marndrd/,/'absent'marndrd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 4
A add,aadd,/aed/,/aed/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 5
Aaddition,aaddition,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 5
aas,aas,/gaes/,/gaes/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪教版/七年级上/Unit 4
A back up,abackup,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级下/Unit 2
abacus,abacus,/ˈæbəkəs/,/ˈæbəkəs/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 2
a balanced diet,abalanceddiet,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/九年级上/Unit 6|沪教版/九年级上/Unit 8
A banking,abanking,/bankrp/,/bankrp/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 3
A (Beijing opera) facial make-up(,abeijingoperafacialmakeup,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级下/Unit 5
ability,ability,/əˈbɪləˌtiː/,/əˈbɪləˌtiː/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,沪教版/七年级下/Unit 8|沪外教版/七年级上/Unit 6|冀教版/八年级上/Unit 3|冀教版/九年级全一册/Unit 2|科普版/八年级下/Unit 7
a bird's eye view (of sth),abirdseyeviewofsth,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/七年级上/Unit 5
a bit,abit,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,4,北师大版/七年级下/Lesson 3|沪教版/七年级下/Unit 5|沪教版/七年级下/Unit 8|人教版/八年级下/Unit 3
a bit of everything,abitofeverything,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,译林版/八年级下/Unit 3
able,able,/ˈeɪbəl/,/ˈeɪbəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,9,北师大版/七年级下/Lesson 3|北师大版/九年级全一册/Unit 8|北师大版/九年级全一册/Unit 9|冀教版/七年级下/Unit 6|教科版/七年级下/Unit 6
abnormal,abnormal,/æbˈnɔːməl/,/æbˈnɔːrməl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 6
aboriginal,aboriginal,/ˌæbəˈɪdʒənəl/,/ˌæbərˈɪdʒənəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Book Vocabulary
a bottle of,abottleof,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,外研版/八年级下/Unit 4
above,above,/əˈbʌv/,/əˈbʌv/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/七年级下/Lesson 3|沪外教版/七年级下/Unit 2|冀教版/八年级上/Unit 5|科普版/八年级上/Unit 5|人教版/八年级下/Unit 4
above all,aboveall,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,北师大版/九年级全一册/Unit 8|北师大版/九年级全一册/Unit 9
A break up (with),abreakupwith,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 4
